Tweet Datetime,text,location
2021-10-17 23:53:43,@heeichjiys gm! sama jiyyy aku jg ptm,"nah I'm mulfand
gsh unfoll bs."
2021-10-17 23:53:41,GOOD MORNING ALL SEMANGAT HARI SENIN YG PTM/DARING SEMANGATT 🙆‍♀️💗,SHE/HER 
2021-10-17 23:53:41,aku PTM guyss https://t.co/gWKcFpj1QA,
2021-10-17 23:53:35,"@alfoxzl pagii, aku hari ini pjj nanti hari jumat baru ptm",mark lee heart
2021-10-17 23:53:34,"@stlefesrey udh ijo, tp ptm nya mulai mingdep🤓",hti jemin
2021-10-17 23:53:27,"@jevousz Diusahain deh, takut lama. Jam 12 ptm soalnya",loving titan continuously
2021-10-17 23:53:27,Selamat Hari Senin🌤️Hari ini aku kebagian jadwal PTM🙌 https://t.co/Ur5Jg9fvCX,"Jawa Timur, Indonesia"
2021-10-17 23:53:22,@sceduls lah ini saya daringg. tapi hari ini ada ptm juga,neocity
2021-10-17 23:53:09,"@convomf belum ada info apa², tapi semoga Selasa biar gak ptm. lg males ptm😭",
2021-10-13 13:22:19,"Orang Tua Tolak Simulasi PTM, Pemkot Makassar Beri Fasilitasi https://t.co/QaTkLmRDXK","Kota Makassar, Sulawesi Selata"
2021-10-13 13:22:17,@Hyunsutk ptm biasa sih 😢,
2021-10-13 13:22:10,Aku mulai ptm lagi minggu depan 😲😲,soshum ²⁴
2021-10-13 13:21:52,"@sgawarau Ptm! Kalo ptm gw bisa lebih fokus, kalo daring gatau kenapa deh tapi susah mau fokus (T^T)",
2021-10-13 13:21:40,@aiurshoon PTM MACAM APA INI,he/him
2021-10-13 13:21:31,"(13.10) 😵‍💫😵🤯

hari ini ptm babak ke dua u__u terus tadi jg ketemu tmn smp 🤩🤩 sekarang lagi ngerjain bindo physics, math sama bio😵😵 yh gt aja si aku mau lanjut ngerjain bindo,, so rest well bestiee, jangan lupa minum &amp;&amp; nightt 👋🏻👋🏻 https://t.co/zTZcRoEEQ3",studytwt. inactive.
2021-10-13 13:21:17,@dearnogyu Bismillah buat bayar tagihan sharing md ptm 🛐🛐,loaf in yeop&seon ho 🛐💗
2021-10-13 13:20:52,ptm dong https://t.co/xftsBNt7eQ,"she/they , %luvity - deobi%"
2021-10-13 13:20:32,@Heraawr yang dari luar kota ribet ternyata harus karantina 14 hari dulu sebelum ptm JADI BINGUNG.,
2021-10-13 13:20:18,ptm dong https://t.co/qoytoXbfO3,she/her
2021-10-13 13:19:49,"Simulasi PTM Berjalan, Sejumlah Orang Tua di SMPN 3 Makassar Belum Izinkan https://t.co/RjhPOw1SJx","Kota Makassar, Sulawesi Selata"
2021-10-13 13:19:43,@soupbinnie lebih suka daring atau ptm?,she/her 
